Event_id,Restaurant_id,Name,Photo_Url,Event_Title,Start_Date,End_Date
337490,130309,Purple Martini,['https://b.zmtcdn.com/data/zomato_events/photos/60a/07e8be093e43e8e7558c8c054072c60a_1554837191.png'],Shanti Sundays with Saxophonist ARTEMIY at Purple Martini at Sunset Point,2019-04-14,2019-04-14
337490,130309,Purple Martini,['https://b.zmtcdn.com/data/zomato_events/photos/60a/07e8be093e43e8e7558c8c054072c60a_1554837191.png'],Shanti Sundays with Saxophonist ARTEMIY at Purple Martini at Sunset Point,2019-04-14,2019-04-14
337490,130309,Purple Martini,['https://b.zmtcdn.com/data/zomato_events/photos/60a/07e8be093e43e8e7558c8c054072c60a_1554837191.png'],Shanti Sundays with Saxophonist ARTEMIY at Purple Martini at Sunset Point,2019-04-14,2019-04-14
334112,130535,The Fisherman's Wharf,['https://b.zmtcdn.com/data/zomato_events/photos/1cf/b5002822975b944a10dedeb0f3b5f1cf_1554178872.jpg'],Mango Mania,2019-04-02,2019-04-30
334112,18685303,The Fisherman's Wharf,['https://b.zmtcdn.com/data/zomato_events/photos/1cf/b5002822975b944a10dedeb0f3b5f1cf_1554178872.jpg'],Mango Mania,2019-04-02,2019-04-30
334112,16541849,The Fisherman's Wharf,['https://b.zmtcdn.com/data/zomato_events/photos/1cf/b5002822975b944a10dedeb0f3b5f1cf_1554178872.jpg'],Mango Mania,2019-04-02,2019-04-30
336304,3301462,Three Beans,NA,GOT FINAL SEASON S08E01,2019-04-15,2019-04-15
336615,18748677,The Civil Kitchen,NA,Kitty Party ,2019-04-08,2019-06-30
336615,18748677,The Civil Kitchen,NA,Kitty Party ,2019-04-08,2019-06-30
336285,18795312,Juhi's Kitchen,NA,SPECIAL VEGETARIAN DISHES,2019-04-06,2019-04-17
308544,201693,Dhaba Lane,NA,Business Lunch,2019-01-29,2019-04-29
316249,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,['https://b.zmtcdn.com/data/zomato_events/photos/3f4/55cbf6d07983e2e71099368ff6b8b3f4_1550642162.jpg'],The Huddle Bollywood Night,2019-04-26,2019-04-27
316249,203518,The Huddle Sports Bar and Grill - Citymax Hotels Bur Dubai,['https://b.zmtcdn.com/data/zomato_events/photos/3f4/55cbf6d07983e2e71099368ff6b8b3f4_1550642162.jpg'],The Huddle Bollywood Night,2019-04-26,2019-04-27
337390,18650045,Tamarind Terrace,['https://b.zmtcdn.com/data/zomato_events/photos/59a/3b4b84d7f4a09ec3d2819a9d418d359a_1554819420.jpg'],Vishu Sadhya,2019-04-15,2019-04-15
335476,209654,Rasoi Ghar,['https://b.zmtcdn.com/data/zomato_events/photos/dc5/ddca56001ba4f053eb04378a0b203dc5_1554383144.png'],4th Anniversary Celebration!,2019-04-29,2019-05-01
334878,5604236,Malabar Regency,NA,Traditional Kerala Style Vishu Sadya,2019-04-15,2019-04-15
308361,18212135,Denny's,"['https://b.zmtcdn.com/data/zomato_events/photos/7a5/3e7640580c2a0ab05313c29ff28ba7a5_1549347517.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/5f6/2a2f9fe52b66407d26731c993b1b85f6_1549347518.jpg']",Introducing the Ultimate Shakshouka & The Denny's Bennies,2019-02-05,2019-04-30
335542,5702486,Ghee Rice,NA,Vishu Celebration at Ghee Rice,2019-04-14,2019-04-14
322902,7003663,Federal Delicatessen,['https://b.zmtcdn.com/data/zomato_events/photos/f95/ba06cea0f402142945abc867af12af95_1551919715.jpg'],Happier Hour,2019-03-01,2019-04-30
298162,7001670,"Eight - Cordis, Auckland Hotel",['https://b.zmtcdn.com/data/zomato_events/photos/7c7/1e86b395be621acc7140265f19c477c7_1547170215.jpg'],Chocolate Tuesdays,2019-04-05,2019-08-21
298162,7001670,"Eight - Cordis, Auckland Hotel",['https://b.zmtcdn.com/data/zomato_events/photos/7c7/1e86b395be621acc7140265f19c477c7_1547170215.jpg'],Chocolate Tuesdays,2019-04-05,2019-08-21
329301,18981544,Katsu YA,['https://b.zmtcdn.com/data/zomato_events/photos/a9d/cda8bfa14954779305af25631f15da9d_1553233453.jpg'],Opening Promo,2019-03-22,2019-04-30
329301,18981544,Katsu YA,['https://b.zmtcdn.com/data/zomato_events/photos/a9d/cda8bfa14954779305af25631f15da9d_1553233453.jpg'],Opening Promo,2019-03-22,2019-04-30
335217,18680113,The Cutt Grill House,['https://b.zmtcdn.com/data/zomato_events/photos/9f6/28778b1cc5af30accd9cda640f5bd9f6_1554356002.jpg'],Knowledge is power,2019-04-04,2019-06-01
